anju,alcohol,explanation,score
drysnacks,can_beer,맥주와 간편하게 즐기는 마른안주 간편함 점수 100점!,80
drysnacks,bottle_beer,저절로 손이 가는 마른 안주에는 역시 맥주!,88
drysnacks,live_beer,저절로 손이가는 마른 안주에는 역시 생맥주!,88
drysnacks,makgeolli,막걸리도 꽤 괜찮은 조합이예요,75
drysnacks,kettle_makgeolli,막걸리도 꽤 괜찮은 조합이예요,75
drysnacks,bottle_wine,마른 안주에 와인은 정말 깔끔한 조합입니다.,80
drysnacks,glass_red_wine,마른 안주에 와인은 정말 깔끔한 조합입니다.,80
drysnacks,glass_white_wine,마른 안주에 화이트 와인은 레드 와인 보다 훨씬 괜찮아요.,90
drysnacks,sake_pack,저라면 안먹을래요.,60
drysnacks,liquor,간단한 과자라면 저는 찬성입니다.,65
egg,soju,계란말이에 소주를 먹는 건 꽤 괜찮은 거 같아요,80
egg,fruit_soju,계란말이에 과일소주는 사람마다 조금 안 어울릴 수도...,60
egg,can_beer,계란에 맥주를 먹는 건 좀...,50
egg,bottle_beer,계란에 맥주를 먹는 건 좀...,50
egg,live_beer,계란에 맥주를 먹는 건 좀...,50
egg,makgeolli,계란에 막걸리 한 잔을 곁들인다면 꽤 어울릴 것 같네요!,85
egg,kettle_makgeolli,계란에 막걸리 한 잔을 곁들인다면 꽤 어울릴 것 같네요!,85
egg,bottle_wine,이럴 때 와인은... 좀 아니지 않나요?,20
egg,glass_red_wine,이럴 때 와인은... 좀 아니지 않나요?,20
egg,glass_white_wine,이럴 때 와인은... 좀 아니지 않나요?,20
egg,sake_pack,계란말이에 사케는 아주 탁월한 선택입니다!,88
egg,liquor,이런 건 왠지 안 어울리는 조합 아닐까요?,45
fried,soju,튀김 반죽에 소주를 넣으면 더욱 바삭해진다는 사실! 알고 계신가요?!,83
fried,fruit_soju,튀김을 좋아하시는군요?,75
fried,can_beer,역시 맥주에는 바삭바삭! 튀김이죠~!,96
fried,bottle_beer,역시 맥주에는 바삭바삭! 튀김이죠~!,96
fried,live_beer,멋진 호프집에서 술 한 잔 하고 계시는군요? 튀김은 그냥 먹어도 맛있죠!,96
fried,makgeolli,튀김은 어떤 안주에나 찰떡이죠. 막걸리와도 한 잔!,87
fried,kettle_makgeolli,튀김은 어떤 안주에나 찰떡이죠. 막걸리와도 한 잔!,87
fried,bottle_wine,흔한 조합은 아니지만 생각보다는 괜찮아요!,79
fried,glass_red_wine,흔한 조합은 아니지만 생각보다는 괜찮아요!,79
fried,glass_white_wine,흔한 조합은 아니지만 생각보다는 괜찮아요!,79
fried,sake_pack,튀김은 사케와도 잘 어울려요!,85
fried,liquor,특이하지만 나쁘지 않은 조합이네요!,70
fruit,soju,깔끔하고 상큼한 과일안주에 소주 좋은 선택입니다!,60
fruit,fruit_soju,달콤한 맛을 좋아하신다면 추천!,80
fruit,can_beer,"저녁 피로를 싹 날려주고, 다음날 무리가 없는 선택",85
fruit,bottle_beer,"저녁 피로를 싹 날려주고, 다음날 무리가 없는 선택",85
fruit,live_beer,"저녁 피로를 싹 날려주고, 다음날 무리가 없는 선택",85
fruit,makgeolli,다음날 머리 아플거같은데..단.단 조합은 머리가 단단해져욤..,40
fruit,kettle_makgeolli,다음날 머리 아플거같은데..단.단 조합은 머리가 단단해져욤..,40
fruit,bottle_wine,와인을 간단하게 즐길 수 있는 최고의 조합!,93
fruit,glass_red_wine,와인을 간단하게 즐길 수 있는 최고의 조합!,93
fruit,glass_white_wine,와인을 간단하게 즐길 수 있는 최고의 조합!,93
fruit,sake_pack,함께 있는 일행분 조심하세요. 주당과 함께이십니다.,95
fruit,liquor,근본,99
grilledclams,soju,조개구이는 소주를 순삭시키죠. 소주를 부르는 그 맛!,98
grilledclams,fruit_soju,조개구이는 소주를 순삭시키죠. 소주를 부르는 그 맛!,95
grilledclams,can_beer,"보통은 소주와 함께 하지만, 시원한 맥주도 나쁘지 않습니다. ",82
grilledclams,bottle_beer,"보통은 소주와 함께 하지만, 시원한 맥주도 나쁘지 않습니다. ",82
grilledclams,live_beer,"보통은 소주와 함께 하지만, 시원한 맥주도 나쁘지 않습니다. ",82
grilledclams,makgeolli,조개구이는 깔끔한 술이 더 잘 어울립니다!,30
grilledclams,kettle_makgeolli,조개구이에 막걸리는 정말 인생 마이웨이로 사시는 분들이군요.,25
grilledclams,bottle_wine,해산물과 와인이 어울리지 않을 리가 없죠?!,92
grilledclams,glass_red_wine,해산물과 와인이 어울리지 않을 리가 없죠?! 화이트가 더 보편적이지만요!,90
grilledclams,glass_white_wine,해산물과 와인이 어울리지 않을 리가 없죠?!,92
grilledclams,sake_pack,조개구이에는 사케가 딱이겠죠?,94
grilledclams,liquor,한식당가서 스테이크 찾는 분들이 여기 계시네요.,12
grilledfish,soju,나름 괜찮은 조합이군요!,75
grilledfish,fruit_soju,생각만해도 토나오는 조합!,14
grilledfish,can_beer,비린맛을 날릴 땐 탄산이 최고!,77
grilledfish,bottle_beer,비린맛을 날릴 땐 탄산이 최고!,79
grilledfish,live_beer,비린맛을 날릴 땐 탄산이 최고! 그 중 으뜸은 생맥주죠!,83
grilledfish,makgeolli,"비린맛을 탄산으로 잡고, 거기다가 은은한 단 맛까지? 술 맛있게 먹는 분들!",88
grilledfish,kettle_makgeolli,"비린맛을 탄산으로 잡고, 거기다가 은은한 단 맛까지? 술 맛있게 먹는 분들!",88
grilledfish,bottle_wine,"어떤 생선일지 모르겠지만, 참치 이상이면 인정해줄게요...",24
grilledfish,glass_red_wine,"어떤 생선일지 모르겠지만, 참치 이상이면 인정해줄게요...",24
grilledfish,glass_white_wine,"어떤 생선일지 모르겠지만, 참치 이상이면 인정해줄게요...",24
grilledfish,sake_pack,비린맛잡는 도둑 ! 소주보단 아니지만 사케도 뭐..인정!,70
grilledfish,liquor,은근 고급스러운 조합입니다.,76
grilledmeat,soju,고기와 소주는 세상에서 가장 완벽한 조합입니다!,95
grilledmeat,fruit_soju,고기 먹으면서 상큼한 맛을 느끼고 싶다면 추천!,90
grilledmeat,can_beer,소주만큼은 아니지만 그래도 꽤 괜찮아요,80
grilledmeat,bottle_beer,소주만큼은 아니지만 그래도 꽤 괜찮아요,80
grilledmeat,live_beer,생맥주는 조금 더 괜찮을지도...,85
grilledmeat,makgeolli,막걸리도 나름 괜찮은 것 같아요,75
grilledmeat,kettle_makgeolli,막걸리도 나름 괜찮은 것 같아요,75
grilledmeat,bottle_wine,"이런 상황에 와인을 드시겠다니, 이런!",30
grilledmeat,glass_red_wine,"이런 상황에 와인을 드시겠다니, 이런!",30
grilledmeat,glass_white_wine,"이런 상황에 와인을 드시겠다니, 이런!",30
grilledmeat,sake_pack,고기에 사케도 나름 탁월한 선택입니다.,87
grilledmeat,liquor,양주는... 더더욱 비추입니다ㅠㅠ,20
jeon,soju,전과 소주도 무난하게 좋은 조합이군요. 어떤 전을 드시고 계신가요?,79
jeon,fruit_soju,전의 기름기를 과일이 중화해줄 수도 있을까요?,65
jeon,can_beer,"막걸리와 먹는 것이 정석이지만, 맥주와도 잘 어울립니다!",84
jeon,bottle_beer,"막걸리와 먹는 것이 정석이지만, 맥주와도 잘 어울립니다!",84
jeon,live_beer,"막걸리와 먹는 것이 정석이지만, 맥주와도 잘 어울립니다!",84
jeon,makgeolli,"막걸리에 전의 조합은 100점이지만, 비까지 온다면? 200점!",90
jeon,kettle_makgeolli,주전자 막걸리에 사이다 좀만 섞어봐요. 그럼 100점 달성 SSAP 가능,95
jeon,bottle_wine,진짜 술 1도 모르는 사람들,50
jeon,glass_red_wine,진짜 술 1도 모르는 사람들,50
jeon,glass_white_wine,진짜 술 1도 모르는 사람들,50
jeon,sake_pack,난 이 조합 찬성. 꾼 조합.,76
jeon,liquor,안주는 장식으로 드신다는 바이브라면 인정. 킹정,15
kkochi,soju,한잔에 한점~ 한잔에 두점은 반칙인거 아시죠?,80
kkochi,fruit_soju,상큼한 과일소주와 좋은 조합입니다!,70
kkochi,can_beer,시원한 맥주와 함께라면 끝도 없이 먹을수도 있어요,80
kkochi,bottle_beer,시원한 맥주와 함께라면 끝도 없이 먹을수도 있어요,80
kkochi,live_beer,시원한 맥주와 함께라면 끝도 없이 먹을수도 있어요,80
kkochi,makgeolli,걸쭉한 막걸리와 함께라면 맛이 없을수가 없죠!,70
kkochi,kettle_makgeolli,걸쭉한 막걸리와 함께라면 맛이 없을수가 없죠!,70
kkochi,bottle_wine,와인과 함께라면 꼬치도 고급 안주로 변신!,50
kkochi,glass_red_wine,와인과 함께라면 꼬치도 고급 안주로 변신!,50
kkochi,glass_white_wine,와인과 함께라면 꼬치도 고급 안주로 변신!,50
kkochi,sake_pack,사케와 궁합은 '매우 좋음!',80
kkochi,liquor,양념이 조금 덜 된 안주가 더 잘 어울려요~,50
muchim,soju,다소 맛이 강한 무침류와 깔끔한 소주의 궁합? 말할 것도 없이 good,96
muchim,fruit_soju,다소 맛이 강한 무침류와 깔끔한 소주의 궁합? 말할 것도 없이 good,96
muchim,can_beer,맥주랑 무침류는 너무 배부를 거 같아..깔끔한 소주는 어때요?,41
muchim,bottle_beer,맥주랑 무침류는 너무 배부를 거 같아..깔끔한 소주는 어때요?,41
muchim,live_beer,맥주랑 무침류는 너무 배부를 거 같아..깔끔한 소주는 어때요?,43
muchim,makgeolli,"막걸리 + 골뱅이 소면은 진리인데, 혹시나 다른 무침류라도 좋아 좋아! ",78
muchim,kettle_makgeolli,"주전자 막걸리 + 골뱅이 소면은 진리이며, 다른 무침류도 좋아요! 특히 주전자라 분위기 up up!",81
muchim,bottle_wine,집에서 간단하게 먹고 싶은데 분위기를 내고 싶다면? 이 선택 좋아요,73
muchim,glass_red_wine,집에서 간단하게 먹고 싶은데 분위기를 내고 싶다면? 이 선택 좋아요,72
muchim,glass_white_wine,"집에서 간단하게 먹고 싶은데 분위기를 내고 싶을 때, 이 조합은 찬성! 특히 화이트 와인 선택은 신의 한수",88
muchim,sake_pack,맛과 향이 조금은 쎈 무침류 음식을 싹 날려줄 사케 한 잔! 굿굿굿,87
muchim,liquor,양주 아까워요.. 뭐? 이 의견 반대라구요? 진실의 방으로,33
nacho,soju,나초는 좀 더 가벼운 술과 함께해보세요!,55
nacho,fruit_soju,과일주랑 함께하면 조금은 더 어울릴 수 있어요,65
nacho,can_beer,맥주도 나초에 꽤 어울려요,80
nacho,bottle_beer,맥주도 나초에 꽤 어울려요,80
nacho,live_beer,맥주도 나초에 꽤 어울려요,80
nacho,makgeolli,이럴수가! 나초에 막걸리라니!,20
nacho,kettle_makgeolli,이럴수가! 나초에 막걸리라니!,20
nacho,bottle_wine,나초에 와인은 그야말로 안성맞춤!,95
nacho,glass_red_wine,나초에 와인은 그야말로 안성맞춤!,95
nacho,glass_white_wine,나초에 와인은 그야말로 안성맞춤!,95
nacho,sake_pack,좀 안 어울릴 수는 있지만... 즐기실 수만 있다면 말리지 않을게요,58
nacho,liquor,좀 안 어울릴 수는 있지만... 즐기실 수만 있다면 말리지 않을게요,60
nut,soju,꽤 어울리는 조합입니다,72
nut,fruit_soju,견과류에 달콤한 맛은 별로인 거 같은데요...?,50
nut,can_beer,편의점 조합인가요? 간편하게 한 잔 하기 딱이죠~,88
nut,bottle_beer,고소한 견과류는 언제나 어디에나 잘 어울려요!,82
nut,live_beer,고소한 견과류는 언제나 어디에나 잘 어울려요!,82
nut,makgeolli,"다소 안 어울릴 수는 있지만, 괜찮으시다면...",65
nut,kettle_makgeolli,"다소 안 어울릴 수는 있지만, 괜찮으시다면...",65
nut,bottle_wine,간편하게 까먹으면서 마시기 좋은 조합이네요. 깔끔하고 고소해요!,76
nut,glass_red_wine,간편하게 까먹으면서 마시기 좋은 조합이네요. 깔끔하고 고소해요!,76
nut,glass_white_wine,간편하게 까먹으면서 마시기 좋은 조합이네요. 깔끔하고 고소해요!,72
nut,sake_pack,사케와 견과류...? 특이하지만 맛만 있다면 오케이입니다!,71
nut,liquor,양주와 견과류...? 당신만 맛있게 먹는다면 오케이입니다!,70
pizza,soju,야근을 힘내게 하는 것은? 피자+소주= 피쏘!,87
pizza,fruit_soju,자주 보이는 조합은 아니지만 나만 맛있다면 상관없겠죠?,77
pizza,can_beer,역시 피자에는 맥주죠!,80
pizza,bottle_beer,역시 피자에는 맥주죠!,80
pizza,live_beer,피맥! 맥주와 함께라면 한판도 거뜬하죠!,75
pizza,makgeolli,막사피'를아시는 분이네..막걸리 + 사이다 + 피자..조합의 신,85
pizza,kettle_makgeolli,막사피'를아시는 분이네..막걸리 + 사이다 + 피자..조합의 신,85
pizza,bottle_wine,피자 먹으면서 우아한 분위기를 느끼고 싶다면 추천!,70
pizza,glass_red_wine,피자 먹으면서 우아한 분위기를 느끼고 싶다면 추천!,70
pizza,glass_white_wine,피자 먹으면서 우아한 분위기를 느끼고 싶다면 추천!,70
pizza,sake_pack,사케도 그렇게 나쁘지는 않은 것 같아요,67
pizza,liquor,"양주는 솔직히 별로인 것 같아요,,,",50
popcorn,soju,스낵과 소주! 진정한 소주파시군요!,15
popcorn,fruit_soju,스낵과 과일소주! 단짠단짠의 조화가 좋아요~,30
popcorn,can_beer,영화관이 생각나는 조합! 간편하게 즐길 수 있는 좋은 조합입니다,60
popcorn,bottle_beer,영화관이 생각나는 조합! 간편하게 즐길 수 있는 좋은 조합입니다,60
popcorn,live_beer,먹으면 먹을수록 계속 먹고싶은 맥주와 스낵류! ,60
popcorn,makgeolli,스낵에 막걸리...? 의외로 맛있는 조합일 수도...?,40
popcorn,kettle_makgeolli,스낵에 막걸리...? 의외로 맛있는 조합일 수도...?,40
popcorn,bottle_wine,스낵류에 와인도 그렇게 나쁘진 않아요,55
popcorn,glass_red_wine,스낵류에 와인도 그렇게 나쁘진 않아요,55
popcorn,glass_white_wine,스낵류에 와인도 그렇게 나쁘진 않아요,55
popcorn,sake_pack,이거... 완전 새로운 조합이군요!,25
popcorn,liquor,스낵류도 좋지만 조금 더 강렬한 맛의 안주가 더 잘 어울려요~,50
ramen,soju,혹시 오늘 하루가 고되고 지치진 않았나요? 어쩐지 고단함이 묻어나는 조합이네요.,75
ramen,fruit_soju,라면에 과일맛은 별로 안 어울리는 것 같아요,50
ramen,can_beer,라면에 맥주를 먹는 당신은 개성파!,60
ramen,bottle_beer,라면에 맥주를 먹는 당신은 개성파!,60
ramen,live_beer,라면에 맥주를 먹는 당신은 개성파!,60
ramen,makgeolli,매콤한 라면에 달달한 막걸리는 환상의 짝꿍!,89
ramen,kettle_makgeolli,매콤한 라면에 달달한 막걸리는 환상의 짝꿍!,89
ramen,bottle_wine,라면에 와인... 이거는 좀 비추입니다..,30
ramen,glass_red_wine,라면에 와인... 이거는 좀 비추입니다..,30
ramen,glass_white_wine,라면에 와인... 이거는 좀 비추입니다..,30
ramen,sake_pack,라면과 사케도 꽤 어울려요!,80
ramen,liquor,라면에 양주는 좀 안 어울리는 듯..,35
salad,soju,샐러드에 소주...? 처음 들어보는 조합이지만 당신만 좋다면요...,62
salad,fruit_soju,상큼함으로 승부하는 조합인가요? 맛이 어떨지 궁금하네요!,61
salad,can_beer,즐기기에는 나쁘지 않은 것 같아요,75
salad,bottle_beer,즐기기에는 나쁘지 않은 것 같아요,75
salad,live_beer,즐기기에는 나쁘지 않은 것 같아요,75
salad,makgeolli,샐러드에 막걸리를 먹는 건 좀 아니지 않을까요?,55
salad,kettle_makgeolli,샐러드에 막걸리를 먹는 건 좀 아니지 않을까요?,55
salad,bottle_wine,샐러드에 와인 한 잔이면 최고의 하루!,90
salad,glass_red_wine,샐러드에 와인 한 잔이면 최고의 하루!,90
salad,glass_white_wine,샐러드에 와인 한 잔이면 최고의 하루!,90
salad,sake_pack,"안 어울릴 수 있지만, 괜찮으시다면 즐기시는 것도 나쁘지 않아요",65
salad,liquor,샐러드에 무거운 양주는 너무 안 어울려요,40
sausage,soju,소세지의 육즙과 깔끔한 소주가 함께!,93
sausage,fruit_soju,소세지의 고소함과 과일주의 달콤함이 어우러진 궁극의 조합!,87
sausage,can_beer,마치 독일에 간 기분? 최고의 조합입니다!,90
sausage,bottle_beer,마치 독일에 간 기분? 최고의 조합입니다!,90
sausage,live_beer,마치 독일 옥토버페스트에 간 기분? 최고의 조합입니다!,90
sausage,makgeolli,사실 소세지는 어떤 술과 먹어도 다 잘 어울려요!,70
sausage,kettle_makgeolli,사실 소세지는 어떤 술과 먹어도 다 잘 어울려요!,70
sausage,bottle_wine,짭짤한 소세지가 와인의 맛을 한층 더 살려주네요,70
sausage,glass_red_wine,짭짤한 소세지가 와인의 맛을 한층 더 살려주네요,70
sausage,glass_white_wine,짭짤한 소세지가 와인의 맛을 한층 더 살려주네요,70
sausage,sake_pack,소세지는 어떤 술과도 잘 어울리죠! 좋은 조합입니다!,60
sausage,liquor,소세지는 어떤 술과도 잘 어울리죠! 좋은 조합입니다!,60
soup,soju,뜨끈한 국물과 소주 한 잔이면 그 날의 근심이 다 잊히는 기분이죠?,84
soup,fruit_soju,국물과 달콤한 맛은 별로 안 어울리는 것 같아요,70
soup,can_beer,이 경우에 맥주는 별로 안 어울리지 않을까요?,45
soup,bottle_beer,이 경우에 맥주는 별로 안 어울리지 않을까요?,45
soup,live_beer,이 경우에 맥주는 별로 안 어울리지 않을까요?,45
soup,makgeolli,꽤 괜찮은 조합이네요,78
soup,kettle_makgeolli,꽤 괜찮은 조합이네요,78
soup,bottle_wine,맑은 국물과 와인의 조합은 늘 좋습니다!,92
soup,glass_red_wine,맑은 국물과 와인의 조합은 늘 좋습니다!,88
soup,glass_white_wine,맑은 국물과 화이트 와인은 찰떡궁합이에요!,92
soup,sake_pack,맑은 국물에 사케를 드신다면 굿!,80
soup,liquor,국물에 양주는 너무 비추예요ㅠㅠ,40
spicysoup,soju,"뜨뜻한 찌개에 소주한잔, 좋은 조합입니다",90
spicysoup,fruit_soju,찌개와 과일맛은 서로의 맛을 해치는 느낌이에요,40
spicysoup,can_beer,소주가 너무 무겁다면? 맥주와도 찌개는 잘 어울리죠~,70
spicysoup,bottle_beer,소주가 너무 무겁다면? 맥주와도 찌개는 잘 어울리죠~,70
spicysoup,live_beer,소주가 너무 무겁다면? 맥주와도 찌개는 잘 어울리죠~,70
spicysoup,makgeolli,크~ 전통적인 조합인데요? 당신은 진정한 맛을 아시는 분!,80
spicysoup,kettle_makgeolli,크~ 전통적인 조합인데요? 당신은 진정한 맛을 아시는 분!,80
spicysoup,bottle_wine,매콤한 국물과 와인이 어울리기는 힘들 것 같아요!,42
spicysoup,glass_red_wine,매콤한 국물과 와인이 어울리기는 힘들 것 같아요!,42
spicysoup,glass_white_wine,다음에는 와인과 매운 국물보다는 맑은 국물은 어떠세요?,74
spicysoup,sake_pack,붉은 국물에 사케를 드신다면 베리베리 굿!,86
spicysoup,liquor,찌개에 양주는 너무너무 비추예요ㅠㅠ,35
squid,soju,무난하게 좋은 선택이네요. 질겅질겅 씹는 맛이 일품!,90
squid,fruit_soju,오징어의 향을 과일소주가 가볍게 덮어주는 훌륭한 조합!,80
